send_time,deliver_time,latency,source,destination,queue_depth
0,1.0,1.0,PS-1,SCADA,0
0,1.0,1.0,PS-2,SCADA,0
0,1.0,1.0,PS-3,SCADA,0
0,1.0,1.0,RTU-North,SCADA,0
0,1.0,1.0,RTU-South,SCADA,0
0,1.0,1.0,HOME-1,MDMS-North,0
0,1.0,1.0,HOME-2,MDMS-North,0
0,1.0,1.0,HOME-3,MDMS-North,0
0,1.0,1.0,HOME-4,MDMS-North,0
0,1.0,1.0,HOME-5,MDMS-North,0
0,1.0,1.0,HOME-6,MDMS-South,0
0,1.0,1.0,HOME-7,MDMS-South,0
0,1.0,1.0,HOME-8,MDMS-South,0
0,1.0,1.0,HOME-9,MDMS-South,0
0,1.0,1.0,HOME-10,MDMS-South,0
5,6.0,1.0,RTU-North,SCADA,0
5,6.0,1.0,RTU-South,SCADA,0
10,11.0,1.0,PS-1,SCADA,0
10,11.0,1.0,PS-2,SCADA,0
10,11.0,1.0,PS-3,SCADA,0
10,11.0,1.0,RTU-North,SCADA,0
10,11.0,1.0,RTU-South,SCADA,0
15,16.0,1.0,RTU-North,SCADA,0
15,16.0,1.0,RTU-South,SCADA,0
20,21.0,1.0,PS-1,SCADA,0
20,21.0,1.0,PS-2,SCADA,0
20,21.0,1.0,PS-3,SCADA,0
20,21.0,1.0,RTU-North,SCADA,0
20,21.0,1.0,RTU-South,SCADA,0
25,26.0,1.0,RTU-North,SCADA,0
25,26.0,1.0,RTU-South,SCADA,0
30,31.0,1.0,PS-1,SCADA,0
30,31.0,1.0,PS-2,SCADA,0
30,31.0,1.0,PS-3,SCADA,0
30,31.0,1.0,RTU-North,SCADA,0
30,31.0,1.0,RTU-South,SCADA,0
35,36.0,1.0,RTU-North,SCADA,0
35,36.0,1.0,RTU-South,SCADA,0
40,41.0,1.0,PS-1,SCADA,0
40,41.0,1.0,PS-2,SCADA,0
40,41.0,1.0,PS-3,SCADA,0
40,41.0,1.0,RTU-North,SCADA,0
40,41.0,1.0,RTU-South,SCADA,0
45,46.0,1.0,RTU-North,SCADA,0
45,46.0,1.0,RTU-South,SCADA,0
